Fecha_Hora,Luz_Porcentaje,Temperatura_C,Humedad_Porcentaje
2026-05-23 14:20:39.743,51.8,24.6,67.3
2026-05-23 14:20:39.948,52.7,24.8,67.4
2026-05-23 14:20:40.151,53.6,25.1,67.4
2026-05-23 15:29:51.009,68.8,25.9,37.8
2026-05-23 15:29:51.210,69.4,25.4,37.9
2026-05-23 15:29:51.410,69.1,24.4,37.8
2026-05-23 15:29:51.612,69.2,25.4,37.8
2026-05-23 15:29:51.822,68.9,24.9,37.7
2026-05-23 15:29:52.025,67.7,24.4,37.9
2026-05-23 15:29:52.227,67.4,25.9,37.9
2026-05-23 15:29:52.427,68.8,25.9,37.9
2026-05-23 15:29:52.636,68.8,24.9,37.9
2026-05-23 15:29:52.838,68.9,24.4,37.9
2026-05-23 15:29:53.042,68.9,25.9,37.7
2026-05-23 15:29:53.244,69.0,24.4,37.6
2026-05-23 15:29:53.444,68.1,24.9,37.9
2026-05-23 15:29:53.644,66.1,25.4,37.7
2026-05-23 15:29:53.844,65.5,24.9,37.7
2026-05-23 15:29:54.058,65.7,24.9,37.9
2026-05-23 15:29:54.261,65.9,25.9,37.9
2026-05-23 15:29:54.461,66.6,25.9,37.8
2026-05-23 15:29:54.661,71.3,24.9,37.7
2026-05-23 15:29:54.861,69.2,24.4,37.8
2026-05-23 15:29:55.076,66.6,25.9,37.8
2026-05-23 15:29:55.278,67.1,24.4,37.9
2026-05-23 15:29:55.478,66.9,25.9,37.7
2026-05-23 15:29:55.678,65.8,20.5,37.9
2026-05-23 15:29:55.888,66.4,0.0,42.6
2026-05-23 15:29:56.295,69.5,28.3,37.6
2026-05-23 15:29:56.506,68.2,28.3,37.6
2026-05-23 15:29:56.709,68.5,28.8,37.5
2026-05-23 15:29:56.912,68.6,29.3,37.7
2026-05-23 15:29:57.112,69.4,27.9,37.7
2026-05-23 15:29:57.312,70.0,28.3,37.5
2026-05-23 15:29:57.512,68.7,28.8,37.6
2026-05-23 15:29:57.726,70.0,28.3,37.7
2026-05-23 15:29:57.930,70.8,27.9,37.6
2026-05-23 15:29:58.129,70.2,28.3,37.6
2026-05-23 15:29:58.329,71.9,28.3,37.5
2026-05-23 15:29:58.539,71.7,27.9,37.6
2026-05-23 15:29:58.743,71.7,28.3,37.7
2026-05-23 15:29:58.946,71.8,28.3,37.7
2026-05-23 15:29:59.146,71.7,28.3,37.6
2026-05-23 15:29:59.347,71.8,27.9,37.7
2026-05-23 15:29:59.546,71.9,27.9,37.7
2026-05-23 15:29:59.758,71.9,27.9,37.7
2026-05-23 15:29:59.961,71.7,27.4,37.7
2026-05-23 15:30:00.163,71.8,27.4,37.8
2026-05-23 15:30:00.365,71.7,27.4,37.6
2026-05-23 15:30:00.563,71.7,27.4,37.5
2026-05-23 15:30:00.775,71.7,27.4,37.6
2026-05-23 15:30:00.977,71.7,27.9,37.5
2026-05-23 15:30:01.181,71.8,27.9,37.7
2026-05-23 15:30:01.380,71.7,27.9,37.8
2026-05-23 15:30:01.588,71.4,27.4,37.6
2026-05-23 15:30:01.791,70.8,27.9,37.6
2026-05-23 15:30:01.996,70.6,27.9,37.7
2026-05-23 15:30:02.197,71.3,27.4,37.7
2026-05-23 15:30:02.399,71.9,27.9,37.6
2026-05-23 15:30:02.604,71.9,27.9,37.6
2026-05-23 15:30:02.798,71.7,26.9,37.7
2026-05-23 15:30:03.012,71.9,26.9,37.7
2026-05-23 15:30:03.214,72.2,27.4,37.6
2026-05-23 15:30:03.416,71.8,27.4,37.7
2026-05-23 15:30:03.615,71.9,27.4,37.8
2026-05-23 15:30:03.825,71.8,26.4,37.8
2026-05-23 15:30:04.028,71.8,26.9,37.7
2026-05-23 15:30:04.231,71.7,27.4,37.7
2026-05-23 15:30:04.434,71.7,27.4,37.8
2026-05-23 15:30:04.638,71.7,27.9,37.7
2026-05-23 15:30:04.837,71.7,27.9,37.8
2026-05-23 15:30:05.045,71.6,27.9,37.8
2026-05-23 15:30:05.248,70.2,27.9,37.6
2026-05-23 15:30:05.450,71.0,26.9,37.7
2026-05-23 15:30:05.649,71.4,27.9,37.8
2026-05-23 15:30:05.859,71.3,27.9,37.6
2026-05-23 15:30:06.062,66.0,27.4,37.8
2026-05-23 15:30:06.264,68.1,27.9,37.7
2026-05-23 15:30:06.466,68.8,27.4,37.7
2026-05-23 15:30:06.665,68.3,27.9,37.6
2026-05-23 15:30:06.875,68.3,27.4,37.7
2026-05-23 15:30:07.078,68.6,27.9,37.7
2026-05-23 15:30:07.282,69.0,27.9,37.6
2026-05-23 15:30:07.485,68.5,27.4,37.8
2026-05-23 15:30:07.688,68.3,27.9,37.8
2026-05-23 15:30:07.888,67.4,27.4,37.8
2026-05-23 15:30:08.091,69.0,27.9,37.7
2026-05-23 15:30:08.298,68.9,26.9,37.6
2026-05-23 15:30:08.499,67.3,27.9,37.6
2026-05-23 15:30:08.706,67.4,26.4,37.7
2026-05-23 15:30:08.908,67.7,27.4,37.6
2026-05-23 15:30:09.106,67.0,26.4,37.8
2026-05-23 15:30:09.314,66.8,27.4,37.8
2026-05-23 15:30:09.516,66.4,27.9,37.6
2026-05-23 15:30:09.720,67.4,27.9,37.7
2026-05-23 15:30:09.926,67.5,26.4,37.7
2026-05-23 15:30:10.126,68.9,27.4,37.6
2026-05-23 15:30:10.331,69.0,26.9,37.7
2026-05-23 15:30:10.530,68.7,27.4,37.9
2026-05-23 15:30:10.739,69.1,27.9,37.7
2026-05-23 15:30:10.938,69.1,26.4,37.8
